"","STATEFP","COUNTYFP","TRACTCE","GEOID","needle_count","needle_binary"
"1","01","047","956202","01047956202",0,FALSE
"2","01","073","003001","01073003001",0,FALSE
"3","01","097","003100","01097003100",0,FALSE
"4","01","097","003205","01097003205",0,FALSE
"5","01","101","002700","01101002700",0,FALSE
"6","01","089","010401","01089010401",0,FALSE
"7","01","089","003100","01089003100",0,FALSE
"8","01","089","000202","01089000202",0,FALSE
"9","01","015","001300","01015001300",0,FALSE
"10","01","073","003700","01073003700",0,FALSE
"11","01","037","961100","01037961100",0,FALSE
"12","01","125","010601","01125010601",0,FALSE
"13","01","079","979300","01079979300",0,FALSE
"14","01","101","003000","01101003000",0,FALSE
"15","01","045","020700","01045020700",0,FALSE
"16","01","101","000400","01101000400",0,FALSE
"17","01","089","001700","01089001700",0,FALSE
"18","01","097","003405","01097003405",0,FALSE
"19","01","089","001903","01089001903",0,FALSE
"20","01","125","011701","01125011701",0,FALSE
"21","01","107","050400","01107050400",0,FALSE
"22","01","071","950400","01071950400",0,FALSE
"23","01","063","060200","01063060200",0,FALSE
"24","01","063","060100","01063060100",0,FALSE
"25","01","009","050500","01009050500",0,FALSE
"26","01","101","000700","01101000700",0,FALSE
"27","01","099","075700","01099075700",0,FALSE
"28","01","097","003707","01097003707",0,FALSE
"29","01","073","000100","01073000100",0,FALSE
"30","01","073","003900","01073003900",0,FALSE
"31","01","065","040100","01065040100",0,FALSE
"32","01","097","006801","01097006801",0,FALSE
"33","01","089","011200","01089011200",0,FALSE
"34","01","073","000700","01073000700",0,FALSE
"35","01","099","075600","01099075600",0,FALSE
"36","01","073","010703","01073010703",0,FALSE
"37","01","089","000302","01089000302",0,FALSE
"38","01","103","000700","01103000700",0,FALSE
"39","01","019","955702","01019955702",0,FALSE
"40","01","053","969800","01053969800",0,FALSE
"41","01","073","004902","01073004902",0,FALSE
"42","01","047","956400","01047956400",0,FALSE
"43","01","097","003605","01097003605",0,FALSE
"44","01","097","006404","01097006404",0,FALSE
"45","01","101","005403","01101005403",0,FALSE
"46","01","129","044100","01129044100",0,FALSE
"47","01","085","781000","01085781000",0,FALSE
"48","01","125","011401","01125011401",0,FALSE
"49","01","005","950300","01005950300",0,FALSE
"50","01","097","003204","01097003204",0,FALSE
"51","01","081","040603","01081040603",0,FALSE
"52","01","089","002300","01089002300",0,FALSE
"53","01","097","002800","01097002800",0,FALSE
"54","01","097","001001","01097001001",0,FALSE
"55","01","097","000600","01097000600",0,FALSE
"56","01","097","000402","01097000402",0,FALSE
"57","01","047","956100","01047956100",0,FALSE
"58","01","047","956900","01047956900",0,FALSE
"59","01","081","042003","01081042003",0,FALSE
"60","01","043","964800","01043964800",0,FALSE
"61","01","089","002400","01089002400",0,FALSE
"62","01","101","005606","01101005606",0,FALSE
"63","01","039","961600","01039961600",0,FALSE
"64","01","099","075800","01099075800",0,FALSE
"65","01","081","040902","01081040902",0,FALSE
"66","01","089","001000","01089001000",0,FALSE
"67","01","073","012908","01073012908",0,FALSE
"68","01","093","964300","01093964300",0,FALSE
"69","01","055","011200","01055011200",0,FALSE
"70","01","087","232300","01087232300",0,FALSE
"71","01","089","001301","01089001301",0,FALSE
"72","01","125","010102","01125010102",0,FALSE
"73","01","101","000600","01101000600",0,FALSE
"74","01","125","010103","01125010103",0,FALSE
"75","01","097","003404","01097003404",0,FALSE
"76","01","087","232200","01087232200",0,FALSE
"77","01","073","014102","01073014102",0,FALSE
"78","01","073","002900","01073002900",0,FALSE
"79","01","023","956800","01023956800",0,FALSE
"80","01","115","040300","01115040300",0,FALSE
"81","01","073","005101","01073005101",0,FALSE
"82","01","073","003200","01073003200",0,FALSE
"83","01","119","011400","01119011400",0,FALSE
"84","01","105","686800","01105686800",0,FALSE
"85","01","001","020400","01001020400",0,FALSE
"86","01","097","000401","01097000401",0,FALSE
"87","01","037","961200","01037961200",0,FALSE
"88","01","023","956700","01023956700",0,FALSE
"89","01","089","011013","01089011013",0,FALSE
"90","01","073","003600","01073003600",0,FALSE
"91","01","047","956701","01047956701",0,FALSE
"92","01","089","000901","01089000901",0,FALSE
"93","01","117","030314","01117030314",0,FALSE
"94","01","097","002700","01097002700",0,FALSE
"95","01","073","005104","01073005104",0,FALSE
"96","01","097","007700","01097007700",0,FALSE
"97","01","097","003301","01097003301",0,FALSE
"98","01","089","001200","01089001200",0,FALSE
"99","01","097","000903","01097000903",0,FALSE
"100","01","097","003606","01097003606",0,FALSE
"101","01","119","011300","01119011300",0,FALSE
"102","01","089","010623","01089010623",0,FALSE
"103","01","055","000700","01055000700",0,FALSE
"104","01","073","010603","01073010603",0,FALSE
"105","01","073","010702","01073010702",0,FALSE
"106","01","097","000902","01097000902",0,FALSE
"107","01","081","040300","01081040300",0,FALSE
"108","01","089","000601","01089000601",0,FALSE
"109","01","097","003602","01097003602",0,FALSE
"110","01","003","010100","01003010100",0,FALSE
"111","01","101","002300","01101002300",0,FALSE
"112","01","081","041400","01081041400",0,FALSE
"113","01","125","012600","01125012600",0,FALSE
"114","01","117","030405","01117030405",0,FALSE
"115","01","091","973300","01091973300",0,FALSE
"116","01","091","973000","01091973000",0,FALSE
"117","01","097","003705","01097003705",0,FALSE
"118","01","011","952500","01011952500",0,FALSE
"119","01","069","040500","01069040500",0,FALSE
"120","01","017","954400","01017954400",0,FALSE
"121","01","097","003202","01097003202",0,FALSE
"122","01","101","005302","01101005302",0,FALSE
"123","01","113","030200","01113030200",0,FALSE
"124","01","073","004800","01073004800",0,FALSE
"125","01","131","034700","01131034700",0,FALSE
"126","01","131","035200","01131035200",0,FALSE
"127","01","133","965600","01133965600",0,FALSE
"128","01","053","970700","01053970700",0,FALSE
"129","01","081","040800","01081040800",0,FALSE
"130","01","015","000200","01015000200",0,FALSE
"131","01","085","780800","01085780800",0,FALSE
"132","01","063","060000","01063060000",0,FALSE
"133","01","085","781100","01085781100",0,FALSE
"134","01","103","005303","01103005303",0,FALSE
"135","01","113","031200","01113031200",0,FALSE
"136","01","051","030400","01051030400",0,FALSE
"137","01","015","000600","01015000600",0,FALSE
"138","01","117","030317","01117030317",0,FALSE
"139","01","039","962300","01039962300",0,FALSE
