"","ZCTA5CE10","GEOID10","ssp_count","needle_binary"
"1","43451","43451",0,FALSE
"2","43452","43452",0,FALSE
"3","43456","43456",0,FALSE
"4","43457","43457",0,FALSE
"5","43458","43458",0,FALSE
"6","43460","43460",0,FALSE
"7","43462","43462",0,FALSE
"8","43463","43463",0,FALSE
"9","43464","43464",0,FALSE
"10","43465","43465",0,FALSE
"11","43466","43466",0,FALSE
"12","43467","43467",0,FALSE
"13","43468","43468",0,FALSE
"14","97824","97824",0,FALSE
"15","97825","97825",0,FALSE
"16","97826","97826",0,FALSE
"17","97827","97827",0,FALSE
"18","97828","97828",0,FALSE
"19","97830","97830",0,FALSE
"20","97833","97833",0,FALSE
"21","97834","97834",0,FALSE
"22","97835","97835",0,FALSE
"23","97836","97836",0,FALSE
"24","97837","97837",0,FALSE
"25","97838","97838",0,FALSE
"26","97839","97839",0,FALSE
"27","97840","97840",0,FALSE
"28","97841","97841",0,FALSE
"29","97842","97842",0,FALSE
"30","97843","97843",0,FALSE
"31","97844","97844",0,FALSE
"32","97845","97845",0,FALSE
"33","97846","97846",0,FALSE
"34","97848","97848",0,FALSE
"35","97850","97850",0,FALSE
"36","97856","97856",0,FALSE
"37","97857","97857",0,FALSE
"38","97859","97859",0,FALSE
"39","97862","97862",0,FALSE
"40","97864","97864",0,FALSE
"41","97865","97865",0,FALSE
"42","97867","97867",0,FALSE
"43","97868","97868",0,FALSE
"44","97869","97869",0,FALSE
"45","97870","97870",0,FALSE
"46","97873","97873",0,FALSE
"47","97874","97874",0,FALSE
"48","97875","97875",0,FALSE
"49","97876","97876",0,FALSE
"50","97877","97877",0,FALSE
"51","97880","97880",0,FALSE
"52","97882","97882",0,FALSE
"53","97883","97883",0,FALSE
"54","94118","94118",0,FALSE
"55","94121","94121",0,FALSE
"56","94122","94122",0,FALSE
"57","94123","94123",0,FALSE
"58","94124","94124",0,FALSE
"59","94127","94127",0,FALSE
"60","94128","94128",0,FALSE
"61","94129","94129",0,FALSE
"62","94130","94130",0,FALSE
"63","94131","94131",0,FALSE
"64","94132","94132",0,FALSE
"65","39531","39531",0,FALSE
"66","42409","42409",0,FALSE
